,01,02,03,04,05,019,032,036,037,038,0250,P3,P4,P42,P45,P75,1,13,18,22,33,69,79,343,362,372,Es
1:1,-1,καθωσ παρεδωσαν ημειν οι απ αρχησ αυτοπται και υπηρε γενομενοι του λογου ,παρεδοσαν,και υπηρεται γενομενου του λογου ,παρεδοσαν,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,παρεδοσαν,καθωσ παρεδωσαν ημιν οι απ αρχησ αυτοπται και υπηρεται γενο του λογου ,καθωσ πα ημιν οι απ αρχησ αυτοπται και υπηρεται γενομενοι του λογου ,παρεδοσαν,παρεδοσαν,παρεδοσαν,-1,παρεδοσαν,-1,παρεδοσαν,παρεδοσαν
1:2,-1,η ελισαβετ ην,και ουκ ην αυτοισ τεκνον καθοτι ην ελεισαβετ ελισαβετ στειρα και αμφοτεροι προβεβηκοτεσ εν ταισ ημερ αυτων ησαν ,και ουκ ην αυτοισ τεκνον καθο η ελεισαβετ ην στειρα και αμφοτεροι προβεβηκο εν ταισ ημεραισ αυτων ησαν ,και ουκ ην αυτοισ τεκνον καθοτι ην η ελισαβεθ στειρα και αμφοτεροι ησαν προβεβηκοτεσ εν ταισ ημεραισ αυτων ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,η ελισαβετ ην,και ουκ ην αυ τεκνων καθοτι ελισαβετ ην στειρα και αμφοτεροι προβεβηκο εν ταισ ημεραισ αυ ησαν ,και ουκ ην αυτοισ τεκνον καθοτι η ε ην στειρα και αμφοτεροι προβεβηκοτεσ εν ταισ ημεραισ αυτων ησαν ,η ελισαβετ ην,ην η ελισαβετ,και ουκ ην αυτοισ τεκνον καθοτι ελισαβετ ην στειρα και αμφοτεροι προβε εν ταισ ημεραισ αυτων ησαν ,-1,και ουκ ην αυτοισ τεκνον καθοτι η ελι ην στειρα και αμφοτεροι προ εν ταισ ημεραισ αυτων η ,-1,και ουκ ην αυτοισ τεκνον καθοτι η ελισαβετ στειρα και αμφοτεροι προβεβηκοτεσ εν ταισ ημεραισ αυτων ησαν ,η ελισαβετ ην
1:3,-1,η,η,η,η,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,η,η,η,η,η,η,-1,η,-1,η,η
1:4,-1,εναντιον,εναντι,εναντιον,εναντι,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,εγενετο δε εν τω ιερατευειν αυτον εν τη ταξει τησ εφημεριασ αυτου εναν θεου ,εγενετο δε εν τω ιερατευειν αυ εν τη ταξει τησ ε αυτου ενανν του θεου ,εναντι,εναντι,εναντι,εναντιον,-1,εγενετο δε εν τω ιερατευειν αυτον εν τη ταξει τησ εφημεριασ αυτου εν του θεου ,-1,εναντι,εναντι
1:5,-1,κυριου,κυριου,κυριου,θεου,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,κυριου,κυριου,κυριου,κυριου,κυριου,κυριου,-1,κυριου,-1,κυριου,κυριου
1:6,-1,του λαου ην,ην του λαου,ην του λαου,του λαου ην,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,του λαου ην,και παν το πληθοσ τ λαου ην προσευχ εξω τη ωρα του θυμιαματοσ ,του λαου ην,ην του λαου,και παν το πληθοσ ην περ λαου προσευχομενον εξω τη ωρα του θυμιαματοσ ,του λαου ην,-1,ην του λαου,-1,του λαου ην,του λαου ην
1:7,-1,επι,επι,επι,επι,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,επι,επι,επι,επι,επι,εν,-1,επι,-1,επι,επι
1:8,-1,γενεσει,γενεσει,γενεσει,γενεσει,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,και εσται χαρα σοι και αγαλλιασισ και πολλοι επι τη γεννησει αυτου χαρησονται ,γεννεσει,και εσται χαρα σοι και αγαλλιασισ και πολλοι επι τη γεννησει αυτου χαρησονται ,και εσται χαρα σοι και αγαλλιασισ και πολλοι επι τη γεννησει αυτου χαρησονται ,και εσται χαρα σοι και αγαλλιασισ και πολ επι τη γεννησει αυτου χαρισονται ,και εσται χαρα σοι και αγα και πολλοι εν τη γεννησει αυτου χαρη ,-1,και εσται χαρα σοι και αγαλλια και πολλοι επι τη γεννησει αυτου χαρησονται ,-1,γενεσει,και εσται χαρα σοι και αγαλλιασισ και πολλοι επι τη γεννησει αυτου χαρησονται
1:9,-1,του,του,,του,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,του,του,του,του,του,του,-1,του,-1,του,του
1:10,-1,κυριου,κυριου,κυριου,κυριου,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,κυριου,θεου,κυριου,κυριου,κυριου,θεου,-1,κυριου,-1,κυριου,κυριου
